PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,AgeGroup,Pclass_desc
1,0,3,male,22.0,1,0,7.25,S,0,Adult,Lower
2,1,1,female,38.0,1,0,71.2833,C,1,Adult,Upper
3,1,3,female,26.0,0,0,7.925,S,0,Adult,Lower
4,1,1,female,35.0,1,0,53.1,S,1,Adult,Upper
5,0,3,male,35.0,0,0,8.05,S,0,Adult,Lower
6,0,3,male,25.0,0,0,8.4583,Q,0,Adult,Lower
7,0,1,male,54.0,0,0,51.8625,S,1,MiddleAge,Upper
8,0,3,male,2.0,3,1,21.075,S,0,Child,Lower
9,1,3,female,27.0,0,2,11.1333,S,0,Adult,Lower
10,1,2,female,14.0,1,0,30.0708,C,0,Teen,Middle
11,1,3,female,4.0,1,1,16.7,S,1,Child,Lower
12,1,1,female,58.0,0,0,26.55,S,1,MiddleAge,Upper
13,0,3,male,20.0,0,0,8.05,S,0,Teen,Lower
14,0,3,male,39.0,1,5,31.275,S,0,Adult,Lower
15,0,3,female,14.0,0,0,7.8542,S,0,Teen,Lower
16,1,2,female,55.0,0,0,16.0,S,0,MiddleAge,Middle
17,0,3,male,2.0,4,1,29.125,Q,0,Child,Lower
18,1,2,male,30.0,0,0,13.0,S,0,Adult,Middle
19,0,3,female,31.0,1,0,18.0,S,0,Adult,Lower
20,1,3,female,21.5,0,0,7.225,C,0,Adult,Lower
21,0,2,male,35.0,0,0,26.0,S,0,Adult,Middle
22,1,2,male,34.0,0,0,13.0,S,1,Adult,Middle
23,1,3,female,15.0,0,0,8.0292,Q,0,Teen,Lower
24,1,1,male,28.0,0,0,35.5,S,1,Adult,Upper
25,0,3,female,8.0,3,1,21.075,S,0,Child,Lower
26,1,3,female,38.0,1,5,31.3875,S,0,Adult,Lower
27,0,3,male,25.0,0,0,7.225,C,0,Adult,Lower
28,0,1,male,19.0,3,2,263.0,S,1,Teen,Upper
29,1,3,female,21.5,0,0,7.8792,Q,0,Adult,Lower
30,0,3,male,25.0,0,0,7.8958,S,0,Adult,Lower
31,0,1,male,40.0,0,0,27.7208,C,0,Adult,Upper
32,1,1,female,35.0,1,0,146.5208,C,1,Adult,Upper
33,1,3,female,21.5,0,0,7.75,Q,0,Adult,Lower
34,0,2,male,66.0,0,0,10.5,S,0,Senior,Middle
35,0,1,male,28.0,1,0,82.1708,C,0,Adult,Upper
36,0,1,male,42.0,1,0,52.0,S,0,MiddleAge,Upper
37,1,3,male,25.0,0,0,7.2292,C,0,Adult,Lower
38,0,3,male,21.0,0,0,8.05,S,0,Adult,Lower
39,0,3,female,18.0,2,0,18.0,S,0,Teen,Lower
40,1,3,female,14.0,1,0,11.2417,C,0,Teen,Lower
41,0,3,female,40.0,1,0,9.475,S,0,Adult,Lower
42,0,2,female,27.0,1,0,21.0,S,0,Adult,Middle
43,0,3,male,25.0,0,0,7.8958,C,0,Adult,Lower
44,1,2,female,3.0,1,2,41.5792,C,0,Child,Middle
45,1,3,female,19.0,0,0,7.8792,Q,0,Teen,Lower
46,0,3,male,25.0,0,0,8.05,S,0,Adult,Lower
47,0,3,male,25.0,1,0,15.5,Q,0,Adult,Lower
48,1,3,female,21.5,0,0,7.75,Q,0,Adult,Lower
49,0,3,male,25.0,2,0,21.6792,C,0,Adult,Lower
50,0,3,female,18.0,1,0,17.8,S,0,Teen,Lower
51,0,3,male,7.0,4,1,39.6875,S,0,Child,Lower
52,0,3,male,21.0,0,0,7.8,S,0,Adult,Lower
53,1,1,female,49.0,1,0,76.7292,C,1,MiddleAge,Upper
54,1,2,female,29.0,1,0,26.0,S,0,Adult,Middle
55,0,1,male,65.0,0,1,61.9792,C,1,Senior,Upper
56,1,1,male,40.0,0,0,35.5,S,1,Adult,Upper
57,1,2,female,21.0,0,0,10.5,S,0,Adult,Middle
58,0,3,male,28.5,0,0,7.2292,C,0,Adult,Lower
59,1,2,female,5.0,1,2,27.75,S,0,Child,Middle
60,0,3,male,11.0,5,2,46.9,S,0,Child,Lower
61,0,3,male,22.0,0,0,7.2292,C,0,Adult,Lower
62,1,1,female,38.0,0,0,80.0,S,1,Adult,Upper
63,0,1,male,45.0,1,0,83.475,S,1,MiddleAge,Upper
64,0,3,male,4.0,3,2,27.9,S,0,Child,Lower
65,0,1,male,40.0,0,0,27.7208,C,0,Adult,Upper
66,1,3,male,25.0,1,1,15.2458,C,0,Adult,Lower
67,1,2,female,29.0,0,0,10.5,S,1,Adult,Middle
68,0,3,male,19.0,0,0,8.1583,S,0,Teen,Lower
69,1,3,female,17.0,4,2,7.925,S,0,Teen,Lower
70,0,3,male,26.0,2,0,8.6625,S,0,Adult,Lower
71,0,2,male,32.0,0,0,10.5,S,0,Adult,Middle
72,0,3,female,16.0,5,2,46.9,S,0,Teen,Lower
73,0,2,male,21.0,0,0,73.5,S,0,Adult,Middle
74,0,3,male,26.0,1,0,14.4542,C,0,Adult,Lower
75,1,3,male,32.0,0,0,56.4958,S,0,Adult,Lower
76,0,3,male,25.0,0,0,7.65,S,1,Adult,Lower
77,0,3,male,25.0,0,0,7.8958,S,0,Adult,Lower
78,0,3,male,25.0,0,0,8.05,S,0,Adult,Lower
79,1,2,male,0.83,0,2,29.0,S,0,Child,Middle
80,1,3,female,30.0,0,0,12.475,S,0,Adult,Lower
81,0,3,male,22.0,0,0,9.0,S,0,Adult,Lower
82,1,3,male,29.0,0,0,9.5,S,0,Adult,Lower
83,1,3,female,21.5,0,0,7.7875,Q,0,Adult,Lower
84,0,1,male,28.0,0,0,47.1,S,0,Adult,Upper
85,1,2,female,17.0,0,0,10.5,S,0,Teen,Middle
86,1,3,female,33.0,3,0,15.85,S,0,Adult,Lower
87,0,3,male,16.0,1,3,34.375,S,0,Teen,Lower
88,0,3,male,25.0,0,0,8.05,S,0,Adult,Lower
89,1,1,female,23.0,3,2,263.0,S,1,Adult,Upper
90,0,3,male,24.0,0,0,8.05,S,0,Adult,Lower
91,0,3,male,29.0,0,0,8.05,S,0,Adult,Lower
92,0,3,male,20.0,0,0,7.8542,S,0,Teen,Lower
93,0,1,male,46.0,1,0,61.175,S,1,MiddleAge,Upper
94,0,3,male,26.0,1,2,20.575,S,0,Adult,Lower
95,0,3,male,59.0,0,0,7.25,S,0,MiddleAge,Lower
96,0,3,male,25.0,0,0,8.05,S,0,Adult,Lower
97,0,1,male,71.0,0,0,34.6542,C,1,Senior,Upper
98,1,1,male,23.0,0,1,63.3583,C,1,Adult,Upper
99,1,2,female,34.0,0,1,23.0,S,0,Adult,Middle
100,0,2,male,34.0,1,0,26.0,S,0,Adult,Middle
101,0,3,female,28.0,0,0,7.8958,S,0,Adult,Lower
102,0,3,male,25.0,0,0,7.8958,S,0,Adult,Lower
103,0,1,male,21.0,0,1,77.2875,S,1,Adult,Upper
104,0,3,male,33.0,0,0,8.6542,S,0,Adult,Lower
105,0,3,male,37.0,2,0,7.925,S,0,Adult,Lower
106,0,3,male,28.0,0,0,7.8958,S,0,Adult,Lower
107,1,3,female,21.0,0,0,7.65,S,0,Adult,Lower
108,1,3,male,25.0,0,0,7.775,S,0,Adult,Lower
109,0,3,male,38.0,0,0,7.8958,S,0,Adult,Lower
110,1,3,female,21.5,1,0,24.15,Q,0,Adult,Lower
111,0,1,male,47.0,0,0,52.0,S,1,MiddleAge,Upper
112,0,3,female,14.5,1,0,14.4542,C,0,Teen,Lower
113,0,3,male,22.0,0,0,8.05,S,0,Adult,Lower
114,0,3,female,20.0,1,0,9.825,S,0,Teen,Lower
115,0,3,female,17.0,0,0,14.4583,C,0,Teen,Lower
116,0,3,male,21.0,0,0,7.925,S,0,Adult,Lower
117,0,3,male,70.5,0,0,7.75,Q,0,Senior,Lower
118,0,2,male,29.0,1,0,21.0,S,0,Adult,Middle
119,0,1,male,24.0,0,1,247.5208,C,1,Adult,Upper
120,0,3,female,2.0,4,2,31.275,S,0,Child,Lower
121,0,2,male,21.0,2,0,73.5,S,0,Adult,Middle
122,0,3,male,25.0,0,0,8.05,S,0,Adult,Lower
123,0,2,male,32.5,1,0,30.0708,C,0,Adult,Middle
124,1,2,female,32.5,0,0,13.0,S,1,Adult,Middle
125,0,1,male,54.0,0,1,77.2875,S,1,MiddleAge,Upper
126,1,3,male,12.0,1,0,11.2417,C,0,Child,Lower
127,0,3,male,25.0,0,0,7.75,Q,0,Adult,Lower
128,1,3,male,24.0,0,0,7.1417,S,0,Adult,Lower
129,1,3,female,21.5,1,1,22.3583,C,1,Adult,Lower
130,0,3,male,45.0,0,0,6.975,S,0,MiddleAge,Lower
131,0,3,male,33.0,0,0,7.8958,C,0,Adult,Lower
132,0,3,male,20.0,0,0,7.05,S,0,Teen,Lower
133,0,3,female,47.0,1,0,14.5,S,0,MiddleAge,Lower
134,1,2,female,29.0,1,0,26.0,S,0,Adult,Middle
135,0,2,male,25.0,0,0,13.0,S,0,Adult,Middle
136,0,2,male,23.0,0,0,15.0458,C,0,Adult,Middle
137,1,1,female,19.0,0,2,26.2833,S,1,Teen,Upper
138,0,1,male,37.0,1,0,53.1,S,1,Adult,Upper
139,0,3,male,16.0,0,0,9.2167,S,0,Teen,Lower
140,0,1,male,24.0,0,0,79.2,C,1,Adult,Upper
141,0,3,female,21.5,0,2,15.2458,C,0,Adult,Lower
142,1,3,female,22.0,0,0,7.75,S,0,Adult,Lower
143,1,3,female,24.0,1,0,15.85,S,0,Adult,Lower
144,0,3,male,19.0,0,0,6.75,Q,0,Teen,Lower
145,0,2,male,18.0,0,0,11.5,S,0,Teen,Middle
146,0,2,male,19.0,1,1,36.75,S,0,Teen,Middle
147,1,3,male,27.0,0,0,7.7958,S,0,Adult,Lower
148,0,3,female,9.0,2,2,34.375,S,0,Child,Lower
149,0,2,male,36.5,0,2,26.0,S,1,Adult,Middle
150,0,2,male,42.0,0,0,13.0,S,0,MiddleAge,Middle
151,0,2,male,51.0,0,0,12.525,S,0,MiddleAge,Middle
152,1,1,female,22.0,1,0,66.6,S,1,Adult,Upper
153,0,3,male,55.5,0,0,8.05,S,0,MiddleAge,Lower
154,0,3,male,40.5,0,2,14.5,S,0,MiddleAge,Lower
155,0,3,male,25.0,0,0,7.3125,S,0,Adult,Lower
156,0,1,male,51.0,0,1,61.3792,C,0,MiddleAge,Upper
157,1,3,female,16.0,0,0,7.7333,Q,0,Teen,Lower
158,0,3,male,30.0,0,0,8.05,S,0,Adult,Lower
159,0,3,male,25.0,0,0,8.6625,S,0,Adult,Lower
160,0,3,male,25.0,8,2,69.55,S,0,Adult,Lower
161,0,3,male,44.0,0,1,16.1,S,0,MiddleAge,Lower
162,1,2,female,40.0,0,0,15.75,S,0,Adult,Middle
163,0,3,male,26.0,0,0,7.775,S,0,Adult,Lower
164,0,3,male,17.0,0,0,8.6625,S,0,Teen,Lower
165,0,3,male,1.0,4,1,39.6875,S,0,Child,Lower
166,1,3,male,9.0,0,2,20.525,S,0,Child,Lower
167,1,1,female,35.0,0,1,55.0,S,1,Adult,Upper
168,0,3,female,45.0,1,4,27.9,S,0,MiddleAge,Lower
169,0,1,male,40.0,0,0,25.925,S,0,Adult,Upper
170,0,3,male,28.0,0,0,56.4958,S,0,Adult,Lower
171,0,1,male,61.0,0,0,33.5,S,1,Senior,Upper
172,0,3,male,4.0,4,1,29.125,Q,0,Child,Lower
173,1,3,female,1.0,1,1,11.1333,S,0,Child,Lower
174,0,3,male,21.0,0,0,7.925,S,0,Adult,Lower
175,0,1,male,56.0,0,0,30.6958,C,1,MiddleAge,Upper
176,0,3,male,18.0,1,1,7.8542,S,0,Teen,Lower
177,0,3,male,25.0,3,1,25.4667,S,0,Adult,Lower
178,0,1,female,50.0,0,0,28.7125,C,1,MiddleAge,Upper
179,0,2,male,30.0,0,0,13.0,S,0,Adult,Middle
180,0,3,male,36.0,0,0,0.0,S,0,Adult,Lower
181,0,3,female,21.5,8,2,69.55,S,0,Adult,Lower
182,0,2,male,30.0,0,0,15.05,C,0,Adult,Middle
183,0,3,male,9.0,4,2,31.3875,S,0,Child,Lower
184,1,2,male,1.0,2,1,39.0,S,1,Child,Middle
185,1,3,female,4.0,0,2,22.025,S,0,Child,Lower
186,0,1,male,40.0,0,0,50.0,S,1,Adult,Upper
187,1,3,female,21.5,1,0,15.5,Q,0,Adult,Lower
188,1,1,male,45.0,0,0,26.55,S,0,MiddleAge,Upper
189,0,3,male,40.0,1,1,15.5,Q,0,Adult,Lower
190,0,3,male,36.0,0,0,7.8958,S,0,Adult,Lower
191,1,2,female,32.0,0,0,13.0,S,0,Adult,Middle
192,0,2,male,19.0,0,0,13.0,S,0,Teen,Middle
193,1,3,female,19.0,1,0,7.8542,S,0,Teen,Lower
194,1,2,male,3.0,1,1,26.0,S,1,Child,Middle
195,1,1,female,44.0,0,0,27.7208,C,1,MiddleAge,Upper
196,1,1,female,58.0,0,0,146.5208,C,1,MiddleAge,Upper
197,0,3,male,25.0,0,0,7.75,Q,0,Adult,Lower
198,0,3,male,42.0,0,1,8.4042,S,0,MiddleAge,Lower
199,1,3,female,21.5,0,0,7.75,Q,0,Adult,Lower
200,0,2,female,24.0,0,0,13.0,S,0,Adult,Middle
201,0,3,male,28.0,0,0,9.5,S,0,Adult,Lower
202,0,3,male,25.0,8,2,69.55,S,0,Adult,Lower
203,0,3,male,34.0,0,0,6.4958,S,0,Adult,Lower
204,0,3,male,45.5,0,0,7.225,C,0,MiddleAge,Lower
205,1,3,male,18.0,0,0,8.05,S,0,Teen,Lower
206,0,3,female,2.0,0,1,10.4625,S,1,Child,Lower
207,0,3,male,32.0,1,0,15.85,S,0,Adult,Lower
208,1,3,male,26.0,0,0,18.7875,C,0,Adult,Lower
209,1,3,female,16.0,0,0,7.75,Q,0,Teen,Lower
210,1,1,male,40.0,0,0,31.0,C,1,Adult,Upper
211,0,3,male,24.0,0,0,7.05,S,0,Adult,Lower
212,1,2,female,35.0,0,0,21.0,S,0,Adult,Middle
213,0,3,male,22.0,0,0,7.25,S,0,Adult,Lower
214,0,2,male,30.0,0,0,13.0,S,0,Adult,Middle
215,0,3,male,25.0,1,0,7.75,Q,0,Adult,Lower
216,1,1,female,31.0,1,0,113.275,C,1,Adult,Upper
217,1,3,female,27.0,0,0,7.925,S,0,Adult,Lower
218,0,2,male,42.0,1,0,27.0,S,0,MiddleAge,Middle
219,1,1,female,32.0,0,0,76.2917,C,1,Adult,Upper
220,0,2,male,30.0,0,0,10.5,S,0,Adult,Middle
221,1,3,male,16.0,0,0,8.05,S,0,Teen,Lower
222,0,2,male,27.0,0,0,13.0,S,0,Adult,Middle
223,0,3,male,51.0,0,0,8.05,S,0,MiddleAge,Lower
224,0,3,male,25.0,0,0,7.8958,S,0,Adult,Lower
225,1,1,male,38.0,1,0,90.0,S,1,Adult,Upper
226,0,3,male,22.0,0,0,9.35,S,0,Adult,Lower
227,1,2,male,19.0,0,0,10.5,S,0,Teen,Middle
228,0,3,male,20.5,0,0,7.25,S,0,Adult,Lower
229,0,2,male,18.0,0,0,13.0,S,0,Teen,Middle
230,0,3,female,21.5,3,1,25.4667,S,0,Adult,Lower
231,1,1,female,35.0,1,0,83.475,S,1,Adult,Upper
232,0,3,male,29.0,0,0,7.775,S,0,Adult,Lower
233,0,2,male,59.0,0,0,13.5,S,0,MiddleAge,Middle
234,1,3,female,5.0,4,2,31.3875,S,0,Child,Lower
235,0,2,male,24.0,0,0,10.5,S,0,Adult,Middle
236,0,3,female,21.5,0,0,7.55,S,0,Adult,Lower
237,0,2,male,44.0,1,0,26.0,S,0,MiddleAge,Middle
238,1,2,female,8.0,0,2,26.25,S,0,Child,Middle
239,0,2,male,19.0,0,0,10.5,S,0,Teen,Middle
240,0,2,male,33.0,0,0,12.275,S,0,Adult,Middle
241,0,3,female,21.5,1,0,14.4542,C,0,Adult,Lower
242,1,3,female,21.5,1,0,15.5,Q,0,Adult,Lower
243,0,2,male,29.0,0,0,10.5,S,0,Adult,Middle
244,0,3,male,22.0,0,0,7.125,S,0,Adult,Lower
245,0,3,male,30.0,0,0,7.225,C,0,Adult,Lower
246,0,1,male,44.0,2,0,90.0,Q,1,MiddleAge,Upper
247,0,3,female,25.0,0,0,7.775,S,0,Adult,Lower
248,1,2,female,24.0,0,2,14.5,S,0,Adult,Middle
249,1,1,male,37.0,1,1,52.5542,S,1,Adult,Upper
250,0,2,male,54.0,1,0,26.0,S,0,MiddleAge,Middle
251,0,3,male,25.0,0,0,7.25,S,0,Adult,Lower
252,0,3,female,29.0,1,1,10.4625,S,1,Adult,Lower
253,0,1,male,62.0,0,0,26.55,S,1,Senior,Upper
254,0,3,male,30.0,1,0,16.1,S,0,Adult,Lower
255,0,3,female,41.0,0,2,20.2125,S,0,MiddleAge,Lower
256,1,3,female,29.0,0,2,15.2458,C,0,Adult,Lower
257,1,1,female,35.0,0,0,79.2,C,0,Adult,Upper
258,1,1,female,30.0,0,0,86.5,S,1,Adult,Upper
259,1,1,female,35.0,0,0,512.3292,C,0,Adult,Upper
260,1,2,female,50.0,0,1,26.0,S,0,MiddleAge,Middle
261,0,3,male,25.0,0,0,7.75,Q,0,Adult,Lower
262,1,3,male,3.0,4,2,31.3875,S,0,Child,Lower
263,0,1,male,52.0,1,1,79.65,S,1,MiddleAge,Upper
264,0,1,male,40.0,0,0,0.0,S,1,Adult,Upper
265,0,3,female,21.5,0,0,7.75,Q,0,Adult,Lower
266,0,2,male,36.0,0,0,10.5,S,0,Adult,Middle
267,0,3,male,16.0,4,1,39.6875,S,0,Teen,Lower
268,1,3,male,25.0,1,0,7.775,S,0,Adult,Lower
269,1,1,female,58.0,0,1,153.4625,S,1,MiddleAge,Upper
270,1,1,female,35.0,0,0,135.6333,S,1,Adult,Upper
271,0,1,male,40.0,0,0,31.0,S,0,Adult,Upper
272,1,3,male,25.0,0,0,0.0,S,0,Adult,Lower
273,1,2,female,41.0,0,1,19.5,S,0,MiddleAge,Middle
274,0,1,male,37.0,0,1,29.7,C,1,Adult,Upper
275,1,3,female,21.5,0,0,7.75,Q,0,Adult,Lower
276,1,1,female,63.0,1,0,77.9583,S,1,Senior,Upper
277,0,3,female,45.0,0,0,7.75,S,0,MiddleAge,Lower
278,0,2,male,30.0,0,0,0.0,S,0,Adult,Middle
279,0,3,male,7.0,4,1,29.125,Q,0,Child,Lower
280,1,3,female,35.0,1,1,20.25,S,0,Adult,Lower
281,0,3,male,65.0,0,0,7.75,Q,0,Senior,Lower
282,0,3,male,28.0,0,0,7.8542,S,0,Adult,Lower
283,0,3,male,16.0,0,0,9.5,S,0,Teen,Lower
284,1,3,male,19.0,0,0,8.05,S,0,Teen,Lower
285,0,1,male,40.0,0,0,26.0,S,1,Adult,Upper
286,0,3,male,33.0,0,0,8.6625,C,0,Adult,Lower
287,1,3,male,30.0,0,0,9.5,S,0,Adult,Lower
288,0,3,male,22.0,0,0,7.8958,S,0,Adult,Lower
289,1,2,male,42.0,0,0,13.0,S,0,MiddleAge,Middle
290,1,3,female,22.0,0,0,7.75,Q,0,Adult,Lower
291,1,1,female,26.0,0,0,78.85,S,0,Adult,Upper
292,1,1,female,19.0,1,0,91.0792,C,1,Teen,Upper
293,0,2,male,36.0,0,0,12.875,C,1,Adult,Middle
294,0,3,female,24.0,0,0,8.85,S,0,Adult,Lower
295,0,3,male,24.0,0,0,7.8958,S,0,Adult,Lower
296,0,1,male,40.0,0,0,27.7208,C,0,Adult,Upper
297,0,3,male,23.5,0,0,7.2292,C,0,Adult,Lower
